,type,details,baseline,threshold_pct,precision,recall,auc,train_set_num,train_start,test_start
137,LR,"penalty: l1, c: 1.0, solver: liblinear, seed: 12345",0.7430825242718446,20,0.7484830097087378,0.2014535358484403,0.5028287991004129,1,2012-01-01,2012-07-01
138,LR,"penalty: l1, c: 1.0, solver: liblinear, seed: 12345",0.7430825242718446,30,0.745044498381877,0.30079209537808266,0.5015415365884273,1,2012-01-01,2012-07-01
139,LR,"penalty: l1, c: 1.0, solver: liblinear, seed: 12345",0.7430825242718446,50,0.7416868932038835,0.49906091785072676,0.498172405075576,1,2012-01-01,2012-07-01
140,LR,"penalty: l1, c: 10.0, solver: liblinear, seed: 12345",0.7430825242718446,1,0.9212121212121213,0.012412216233872285,0.5046709168084808,1,2012-01-01,2012-07-01
141,LR,"penalty: l1, c: 10.0, solver: liblinear, seed: 12345",0.7430825242718446,2,0.8163884673748103,0.02196635636126082,0.5038386340143574,1,2012-01-01,2012-07-01
142,LR,"penalty: l1, c: 10.0, solver: liblinear, seed: 12345",0.7430825242718446,5,0.7633495145631068,0.051363710599379386,0.5026539856728593,1,2012-01-01,2012-07-01
143,LR,"penalty: l1, c: 10.0, solver: liblinear, seed: 12345",0.7430825242718446,10,0.7527305825242718,0.10129838314551691,0.5025268486346385,1,2012-01-01,2012-07-01
144,LR,"penalty: l1, c: 10.0, solver: liblinear, seed: 12345",0.7430825242718446,20,0.7483313106796117,0.20141270618977625,0.5027493384515249,1,2012-01-01,2012-07-01
145,LR,"penalty: l1, c: 10.0, solver: liblinear, seed: 12345",0.7430825242718446,30,0.745044498381877,0.30079209537808266,0.5015415365884273,1,2012-01-01,2012-07-01
146,LR,"penalty: l1, c: 10.0, solver: liblinear, seed: 12345",0.7430825242718446,50,0.7414441747572815,0.4988975992160706,0.4978545624800239,1,2012-01-01,2012-07-01
147,LR,"penalty: l1, c: 100.0, solver: liblinear, seed: 12345",0.7430825242718446,1,0.9212121212121213,0.012412216233872285,0.5046709168084808,1,2012-01-01,2012-07-01
148,LR,"penalty: l1, c: 100.0, solver: liblinear, seed: 12345",0.7430825242718446,2,0.8209408194233687,0.022088845337252982,0.5040770159610214,1,2012-01-01,2012-07-01
149,LR,"penalty: l1, c: 100.0, solver: liblinear, seed: 12345",0.7430825242718446,5,0.7651699029126213,0.05148619957537155,0.5028923676195233,1,2012-01-01,2012-07-01
150,LR,"penalty: l1, c: 100.0, solver: liblinear, seed: 12345",0.7430825242718446,10,0.7524271844660194,0.10125755348685285,0.5024473879857505,1,2012-01-01,2012-07-01
