,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
127,"Block Group 3, Census Tract 310, Cook County, Illinois",34.6,792,31,7,15,0,50,25,26,47,44,49,74,135,231,1385,1155,39,93,17,031,031000,3
128,"Block Group 2, Census Tract 311, Cook County, Illinois",30.9,631,141,0,0,34,42,45,29,16,76,86,34,63,217,815,511,15,192,17,031,031100,2
129,"Block Group 1, Census Tract 311, Cook County, Illinois",40.1,858,42,54,24,21,0,14,11,0,0,76,60,99,624,1583,1321,33,229,17,031,031100,1
130,"Block Group 3, Census Tract 311, Cook County, Illinois",43.5,808,0,22,37,68,87,16,78,13,0,81,29,91,113,1314,1099,70,107,17,031,031100,3
131,"Block Group 4, Census Tract 312, Cook County, Illinois",33.7,771,130,50,0,55,0,42,0,95,29,74,62,58,149,1391,963,207,187,17,031,031200,4
132,"Block Group 1, Census Tract 312, Cook County, Illinois",34.0,565,154,24,0,14,37,0,17,15,0,0,15,103,88,1096,949,19,80,17,031,031200,1
133,"Block Group 2, Census Tract 312, Cook County, Illinois",43.6,498,72,70,15,17,22,0,110,23,57,18,45,16,54,1657,480,756,363,17,031,031200,2
134,"Block Group 3, Census Tract 312, Cook County, Illinois",46.6,826,330,52,86,44,101,0,17,39,41,0,52,18,513,772,427,247,64,17,031,031200,3
135,"Block Group 1, Census Tract 313, Cook County, Illinois",53.5,465,16,34,14,14,123,16,39,0,10,80,11,31,102,921,774,147,0,17,031,031300,1
136,"Block Group 2, Census Tract 313, Cook County, Illinois",37.7,976,14,32,0,124,69,49,86,43,47,127,62,260,215,1287,741,339,144,17,031,031300,2
137,"Block Group 5, Census Tract 313, Cook County, Illinois",37.7,1068,56,36,9,48,15,70,43,73,56,158,191,105,390,1472,1069,204,177,17,031,031300,5
138,"Block Group 4, Census Tract 313, Cook County, Illinois",50.6,1242,283,155,48,77,67,104,98,20,57,53,53,50,155,2411,838,1068,505,17,031,031300,4
139,"Block Group 3, Census Tract 313, Cook County, Illinois",42.2,367,32,16,0,60,16,89,44,0,0,0,0,0,0,1084,271,0,758,17,031,031300,3
140,"Block Group 3, Census Tract 314, Cook County, Illinois",34.4,552,61,0,44,52,15,33,16,29,24,69,39,145,77,730,522,122,86,17,031,031400,3
141,"Block Group 2, Census Tract 314, Cook County, Illinois",32.3,450,42,0,47,0,0,0,0,0,11,42,33,76,14,772,603,39,130,17,031,031400,2
142,"Block Group 1, Census Tract 314, Cook County, Illinois",57.3,1046,19,0,50,105,40,20,0,0,40,114,177,94,48,1471,1070,249,130,17,031,031400,1
143,"Block Group 4, Census Tract 314, Cook County, Illinois",86.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,48,82,0,17,031,031400,4
144,"Block Group 5, Census Tract 314, Cook County, Illinois",35.4,540,16,0,0,41,28,32,0,0,14,72,73,27,199,718,596,42,38,17,031,031400,5
145,"Block Group 6, Census Tract 314, Cook County, Illinois",45.9,499,15,25,16,0,0,70,17,31,0,27,35,129,44,755,560,81,89,17,031,031400,6
146,"Block Group 2, Census Tract 315.01, Cook County, Illinois",34.9,860,123,66,130,35,21,0,22,15,31,48,89,142,315,1602,670,348,473,17,031,031501,2
147,"Block Group 1, Census Tract 315.01, Cook County, Illinois",53.5,418,90,50,16,24,104,30,0,0,13,30,26,27,78,729,240,238,242,17,031,031501,1
148,"Block Group 3, Census Tract 315.01, Cook County, Illinois",37.1,498,130,61,42,49,8,18,8,8,39,40,44,0,50,1259,513,582,120,17,031,031501,3
149,"Block Group 1, Census Tract 315.02, Cook County, Illinois",28.7,723,99,15,41,78,29,93,13,30,0,78,60,37,635,1112,744,243,125,17,031,031502,1
150,"Block Group 3, Census Tract 315.02, Cook County, Illinois",35.9,956,264,131,66,157,69,0,58,75,0,60,0,19,37,1817,310,1410,81,17,031,031502,3
151,"Block Group 2, Census Tract 315.02, Cook County, Illinois",37.4,571,167,105,29,0,22,63,13,0,13,31,29,30,184,654,333,185,76,17,031,031502,2
152,"Block Group 1, Census Tract 317, Cook County, Illinois",33.9,1071,181,86,82,23,87,80,24,64,13,37,94,68,418,2009,1338,385,144,17,031,031700,1
153,"Block Group 2, Census Tract 317, Cook County, Illinois",33.2,1033,228,82,41,102,0,15,19,66,0,26,106,63,145,1786,1162,528,54,17,031,031700,2
154,"Block Group 3, Census Tract 317, Cook County, Illinois",29.9,783,62,15,50,61,54,26,44,73,30,13,69,92,263,1247,641,498,51,17,031,031700,3
155,"Block Group 4, Census Tract 317, Cook County, Illinois",34.8,584,119,0,0,0,35,0,0,43,20,29,75,107,18,1115,710,242,63,17,031,031700,4
156,"Block Group 1, Census Tract 318, Cook County, Illinois",33.5,936,37,18,57,34,57,54,32,31,33,48,93,122,172,1599,1367,39,173,17,031,031800,1
157,"Block Group 1, Census Tract 319, Cook County, Illinois",30.9,606,34,24,48,42,26,7,58,8,62,10,74,85,121,1054,900,69,57,17,031,031900,1
158,"Block Group 2, Census Tract 319, Cook County, Illinois",38.6,652,21,24,15,32,9,53,9,43,7,51,104,49,262,1089,883,15,116,17,031,031900,2
159,"Block Group 2, Census Tract 321, Cook County, Illinois",30.4,668,96,46,60,67,26,62,0,28,0,60,83,54,92,930,871,0,59,17,031,032100,2
160,"Block Group 3, Census Tract 321, Cook County, Illinois",39.5,994,236,32,181,0,0,24,30,9,115,93,67,0,312,1220,1076,114,0,17,031,032100,3
161,"Block Group 1, Census Tract 321, Cook County, Illinois",44.5,825,129,0,0,0,33,29,0,0,0,0,29,170,199,1516,1264,176,76,17,031,032100,1
162,"Block Group 4, Census Tract 321, Cook County, Illinois",29.5,820,32,0,101,107,0,30,0,101,43,97,0,195,781,1040,573,132,117,17,031,032100,4
163,"Block Group 5, Census Tract 321, Cook County, Illinois",39.3,481,0,121,0,0,0,0,0,29,0,16,22,36,176,851,791,21,39,17,031,032100,5
164,"Block Group 1, Census Tract 401, Cook County, Illinois",42.8,522,8,10,0,0,37,51,6,23,0,36,70,51,146,1129,859,168,53,17,031,040100,1
165,"Block Group 2, Census Tract 401, Cook County, Illinois",35.3,704,28,7,29,20,17,6,18,22,53,82,73,140,333,1128,972,37,81,17,031,040100,2
166,"Block Group 3, Census Tract 401, Cook County, Illinois",32.0,373,20,17,10,9,0,7,9,8,0,8,57,64,292,865,822,9,26,17,031,040100,3
167,"Block Group 4, Census Tract 402.01, Cook County, Illinois",32.2,1084,26,28,14,0,41,68,80,81,67,63,131,146,642,1944,1303,173,218,17,031,040201,4
168,"Block Group 3, Census Tract 402.01, Cook County, Illinois",34.8,626,50,16,26,39,0,12,16,31,33,26,82,72,359,995,932,31,32,17,031,040201,3
169,"Block Group 1, Census Tract 402.01, Cook County, Illinois",32.4,557,15,0,32,15,46,0,35,0,0,12,94,95,314,1007,951,43,13,17,031,040201,1
